id,rating,genre,runtime,age_rating,img_url,title,year
2eb35822-ea5f-4ec7-997e-cf216d755d1b, 83%  6.8 (226k) ," Science-Fiction, Mystery & Thriller, Action & Adventure, Drama, Fantasy ",2h 42min,PG-13,https://images.justwatch.com/poster/300992079/s592/black-panther-ii, Black Panther: Wakanda Forever , (2022) 
48f8e79e-ed64-42d2-a979-f96294e51525, 92%  8.4 (116k) ," Science-Fiction, War & Military, Action & Adventure, Drama, Mystery & Thriller ",46min,TV-14,https://images.justwatch.com/poster/300769866/s592/andor, Star Wars: Andor , (2022) 
1b16cbb6-aaf5-436e-8004-ef5a4fa90a12, 89%  7.8 (38k) ," Science-Fiction, Animation, Action & Adventure, Drama, Fantasy ",28min,TV-PG,https://images.justwatch.com/poster/245232288/s592/the-bad-batch, Star Wars: The Bad Batch , (2021) 
bedbdcfb-2497-4441-8509-e219ee5294f0, 96%  8.7 (490k) ," War & Military, Science-Fiction, Action & Adventure, Drama, Western, Fantasy ",40min,TV-14,https://images.justwatch.com/poster/214857686/s592/the-mandalorian, The Mandalorian , (2019) 
ae3c05d5-a206-4ef2-b927-323d5dc575a2, 74%  5.5 (9k) ," Action & Adventure, Mystery & Thriller ",45min,TV-14,https://images.justwatch.com/poster/302072429/s592/national-treasure-edge-of-history, National Treasure: Edge of History , (2022) 
5ab2bd7c-45d9-4248-8092-73d17a5ce0fc, 81%  7.6 (8k) , Documentary ,1h 38min,PG,https://images.justwatch.com/poster/287099383/s592/fire-of-love, Fire of Love , (2022) 
1471ae98-6b3b-4105-9fa8-ccebda075e2d, 94%  8.7 (412k) ," Animation, Comedy, Kids & Family ",27min,TV-MA,https://images.justwatch.com/poster/138445445/s592/the-simpsons, The Simpsons , (1989) 
9d201f34-0837-4a36-b51b-dc824e26ea14, 73%  5.6 (28k) ," Science-Fiction, Action & Adventure, Drama, Fantasy, Romance ",50min,TV-14,https://images.justwatch.com/poster/301424775/s592/willow, Willow , (2022) 
73309598-cc43-44da-aeac-5d277bff2fc5, 88%  7.9 (1m) ," Action & Adventure, Fantasy, Science-Fiction ",2h 42min,PG-13,https://images.justwatch.com/poster/8730058/s592/avatar-2009, Avatar , (2009) 
db6db126-5db4-4966-9334-27a649b73b16, 96%  9.5 (12k) ," Animation, Kids & Family ",8min,TV-Y,https://images.justwatch.com/poster/302458042/s592/bluey, Bluey , (2018) 
8eb51a02-6d5f-4cb2-b734-e3f5887d2b94, 86%  8.0 (67k) ," Science-Fiction, Comedy, Drama, Kids & Family ",53min,TV-14,https://images.justwatch.com/poster/281290833/s592/the-orville, The Orville , (2017) 
bef78667-57d3-4c88-a163-47fc0eec5b48, 88%  7.8 (236k) ," Drama, History ",2h 7min,PG,https://images.justwatch.com/poster/288307312/s592/hidden-figures, Hidden Figures , (2016) 
737f6cc1-1eee-4b7c-bfb0-4304c6bb3e7d, 86%  8.0 (432k) ," Fantasy, Romance, Kids & Family ",1h 38min,PG,https://images.justwatch.com/poster/100789759/s592/the-princess-bride, The Princess Bride , (1987) 
b1bef1b4-886f-45c4-ab03-5fcb1011d569, 85%  7.3 (236k) ," Action & Adventure, Science-Fiction, Drama, Fantasy, Horror, Mystery & Thriller ",48min,TV-14,https://images.justwatch.com/poster/277939929/s592/moon-knight, Moon Knight , (2022) 
1d0f4436-e607-4cee-9457-6becf819ff73, 80%  7.1 (197k) ," Science-Fiction, Action & Adventure, Drama ",44min,TV-14,https://images.justwatch.com/poster/281291442/s592/obi-wan-kenobi, Obi-Wan Kenobi , (2022) 
1c357e68-290b-468d-b20a-486e64e5404c, 91%  8.2 (323k) ," Drama, Science-Fiction, Action & Adventure, Fantasy ",48min,TV-14,https://images.justwatch.com/poster/245222645/s592/loki, Loki , (2021) 
41896ae1-a42c-4c47-8505-075f3ff95256, 68%  5.2 (171k) ," Science-Fiction, Drama, Action & Adventure, Comedy ",32min,TV-14,https://images.justwatch.com/poster/298573362/s592/she-hulk, She-Hulk: Attorney at Law , (2022) 
7182e235-7489-4dd6-82db-2c7affe99f30, 95%  8.4 (13k) ," Action & Adventure, Science-Fiction, Horror, Fantasy, Animation, Kids & Family, Drama, Mystery & Thriller, Comedy ",24min,TV-PG,https://images.justwatch.com/poster/149520223/s592/the-owl-house, The Owl House , (2020) 
98c07560-6e0c-4e03-b5dd-c1a50f79ba10, 84%  7.3 (156k) ," Science-Fiction, Romance, Western, Kids & Family, Fantasy, Action & Adventure ",47min,TV-14,https://images.justwatch.com/poster/253519890/s592/the-book-of-boba-fett, The Book of Boba Fett , (2021) 
6096a906-fa00-4146-a2ae-e6e934b833b1, 89%  7.9 (329k) ," Science-Fiction, Mystery & Thriller, Drama, Comedy, Fantasy, Romance, Action & Adventure ",39min,TV-14,https://images.justwatch.com/poster/241801395/s592/wandavision, WandaVision , (2021) 
50775d84-5a7b-42d6-affd-f4b424779935, 79%  7.4 (14k) ," Science-Fiction, Action & Adventure, Drama ",47min,TV-PG,https://images.justwatch.com/poster/252357893/s592/mars-2016, Mars , (2016) 
cba5b026-a7e1-4ed2-be16-8339a58134ec, 92%  8.6 (445k) ," Crime, Drama, Action & Adventure, Science-Fiction, Mystery & Thriller, Fantasy ",53min,TV-MA,https://images.justwatch.com/poster/87721747/s592/marvels-daredevil, Marvel's Daredevil , (2015) 
345a9406-8345-4909-a241-174d4dde4e73, 93%  9.0 (23k) ," Documentary, Music & Musical ",2h 36min, 93%  9.0 (23k) ,https://images.justwatch.com/poster/241989928/s592/the-beatles-get-back, The Beatles: Get Back , (2021) 
33e4cadc-91ae-481a-b11b-ddb626fa2933, 75%  6.3 (347k) ," Fantasy, Action & Adventure, Comedy, Romance, Science-Fiction, Music & Musical ",1h 59min,PG-13,https://images.justwatch.com/poster/300706764/s592/thor-love-and-thunder, Thor: Love and Thunder , (2022) 
8194f642-ab8b-4aaf-a9f8-da84458295ad, 77%  7.6 (51k) ," Action & Adventure, Drama, Crime, Mystery & Thriller, Science-Fiction ",44min,TV-14,https://images.justwatch.com/poster/214515132/s592/alias, Alias , (2001) 
4c8a90e8-abdf-4898-9983-e783f645964a, 91%  8.5 (240k) ," Crime, Drama, Action & Adventure, Mystery & Thriller, Science-Fiction ",53min,TV-MA,https://images.justwatch.com/poster/272744917/s592/marvels-the-punisher, Marvel's The Punisher , (2017) 
f5a06c02-d5e9-46d7-a12c-6f89b862c1f8, 87%  8.0 (1m) ," Action & Adventure, Comedy, Science-Fiction ",1h 49min,R,https://images.justwatch.com/poster/8729130/s592/deadpool, Deadpool , (2016) 
da878ef5-d602-4bc6-95e7-984fe3b999f2, 93%  8.4 (101k) ," Action & Adventure, Science-Fiction, Fantasy, Animation, Drama ",23min,TV-PG,https://images.justwatch.com/poster/182754926/s592/star-wars-the-clone-wars, Star Wars: The Clone Wars , (2008) 
152fea36-59f7-413f-9e72-d961b738e8a6, 82%  7.3 (351k) ," Comedy, Drama, Romance ",1h 37min,PG-13,https://images.justwatch.com/poster/53089216/s592/10-things-i-hate-about-you, 10 Things I Hate About You , (1999) 
e4f6a4e9-b5b9-4ce0-a7b3-c0a1abf60f82, 82%  7.1 (379k) ," Science-Fiction, Comedy, Fantasy, Action & Adventure ",1h 55min,PG-13,https://images.justwatch.com/poster/250585297/s592/free-guy, Free Guy , (2021) 
3823712f-ba84-4c53-9113-201c1580ea58, 88%  8.1 (774k) ," Drama, Action & Adventure, Science-Fiction, Mystery & Thriller ",2h 17min,R,https://images.justwatch.com/poster/8540489/s592/logan, Logan , (2017) 
27391533-3523-4981-840b-3f22b5d47170, 50%  8.7 ," Science-Fiction, Animation, Action & Adventure, Comedy, Kids & Family, Fantasy ",26min,TV-G,https://images.justwatch.com/poster/302617430/s592/marvels-moon-girl-and-devil-dinosaur, Marvel's Moon Girl and Devil Dinosaur , (2023) 
a77bd0aa-356c-4806-874c-7a8c767b006f, 93%  8.1 (2k) ," Action & Adventure, Documentary ",53min,TV-14,https://images.justwatch.com/poster/301571970/s592/limitless-with-chris-hemsworth, Limitless with Chris Hemsworth , (2022) 
ec649b23-2483-4a4a-be0a-8c1d7d25040d, 89%  7.7 (10k) ," Action & Adventure, Kids & Family, Fantasy, Romance, Animation ",21min,TV-Y7,https://images.justwatch.com/poster/254525797/s592/miraculous-tales-of-ladybug-and-cat-noir, Miraculous: Tales of Ladybug & Cat Noir , (2015) 
c8a89d2a-aeb4-4a25-a637-8b23bbe59ec4, 86%  7.5 (188k) ," Action & Adventure, Drama, Comedy, Crime, Science-Fiction ",47min,TV-14,https://images.justwatch.com/poster/258645940/s592/hawkeye-2021, Hawkeye , (2021) 
896142a9-3c21-4c0d-a99f-8f4d7ad8c69e, 73%  6.2 (105k) ," Science-Fiction, Action & Adventure, Crime, Kids & Family, Drama, Fantasy, Comedy ",45min,TV-14,https://images.justwatch.com/poster/283858467/s592/ms-marvel, Ms. Marvel , (2022) 
09107489-512e-459d-914d-1d5b608a8f92, 89%  8.2 (23k) ," Animation, Science-Fiction, Action & Adventure, Drama, Fantasy ",14min,TV-PG,https://images.justwatch.com/poster/301434196/s592/tales-of-the-jedi, Star Wars: Tales of the Jedi , (2022) 
41e269c3-5888-46ba-8fc4-52f1da2d4842, 82%  7.3 (707k) ," Action & Adventure, Science-Fiction ",2h 14min,PG-13,https://images.justwatch.com/poster/44121984/s592/black-panther, Black Panther , (2018) 
0f483f76-1224-4c8a-addb-ba5ce371c717, 65%  4.6 (6k) , Reality TV ,43min,TV-14,https://images.justwatch.com/poster/303007151/s592/dance-moms, Dance Moms , (2011) 
361dbc25-5cbb-46b4-9e37-87bcc9ca0760, 93%  8.3 (2k) ," Science-Fiction, Animation, Comedy, Kids & Family, Fantasy, Action & Adventure, Horror, Mystery & Thriller, Drama ",23min,TV-Y7,https://images.justwatch.com/poster/245273444/s592/gravity-falls, Gravity Falls , (2012) 
